"ELPD" "ELPD_SE" "LML"
-112.953601395934 11.9270320731796 -121.682725508387
-204.005234428057 9.57605912889432 -213.974652107939
-116.012121442565 9.5417417314702 -125.565543653825
27.8343730944604 9.56064390620564 19.8976048477786
43.0287010315359 10.9672513741277 31.182419561664
18.9648371409449 8.6502737566972 11.1750050040178
-36.4576903882106 9.8681229824496 -45.1638788538031
-102.83965597884 9.92726201917245 -113.803238804035
37.1655559718766 11.4718288383384 28.0284268132539
16.1422971169634 12.0471758249151 4.51603391542703
-162.374964578183 11.6445187994314 -171.750844913693
59.7379703525495 6.88707589036866 50.8555075575416
-21.984166768804 7.29652902647877 -28.9874511308028
-235.663939409964 10.2648705073359 -246.329621041882
31.4331003508283 6.61374458812723 23.7287068318305
-247.981342084606 9.74813657205159 -258.540166627192
64.4631354131186 11.5804851992594 53.7864779176339
-34.5189342009475 8.75964425927878 -46.4487975034731
0.0195123695357022 8.65048891699312 -8.38615674331002
-6.54874479177258 9.93240433683416 -18.4569881016513
34.5104036611859 7.94266901504556 26.8742969007467
1.07364950340597 11.8436820080285 -11.9191257394605
-31.7759446048369 8.39855408304705 -39.2041922454985
-115.272811973654 9.26041884275051 -123.507049754302
106.041736520792 9.27064432546966 94.5619168817976
14.8548453709152 9.42267118735217 3.65623713767458
1.07512349865939 7.13894675974672 -6.12585052644232
-171.679881873445 11.5869818956409 -180.653719841726
-79.2549202646121 10.6495435146148 -91.3030386265792
-15.3913226049114 10.2507822978256 -23.6647601047239
-34.0778458172479 12.1870860017209 -43.4410848160705
53.8231142596202 10.6086492267642 45.0406211130728
8.85372249765725 11.3497981388153 -1.60174233616611
35.1332779718798 8.98637958437506 26.5562756531931
-124.780864437914 8.84657001824659 -134.079860038005
-218.396188107756 10.6801180642819 -227.133018905798
-201.825725311937 10.1896539782634 -211.636236239553
55.8331673029024 9.60904047492271 47.2931190877644
-87.9209925412277 10.3920931210773 -98.5280688380021
49.8506812498408 9.20225282731674 41.0927391010505
50.7364051400815 9.05747156805111 42.2343195089406
43.8566374579021 10.883688989166 34.2272701341404
20.2084532374078 10.1281234000035 9.73686900910416
17.6160649719089 8.63911572059797 9.16766888321063
-61.2423985927322 9.86758941150981 -72.2087251189788
-86.2331552997667 9.5019180418848 -98.5409309919596
54.0347917803836 10.7190807524576 43.8044331156654
-39.189603841793 8.70725806773707 -48.2439620138465
29.2403181715984 7.20965316371056 21.3646714055557
-78.136142129365 10.1443700351898 -86.2275672044517
-2.50746092469961 10.0660110074313 -14.1555731499784
-21.6388424184691 10.6540072828509 -34.6340285118842
37.1898678288125 10.4309811673143 25.4447530126279
-142.820257528999 9.35422847794004 -152.448131281697
66.4507404838792 9.20045315700397 54.2822366507841
89.960386291478 9.16373143571601 79.5749868503669
29.975801817226 8.30709940582608 21.7691544489281
-107.564362867685 9.40945392491912 -117.999001155678
-16.9211811985608 7.70465516890862 -23.9333560031584
27.9320456581274 9.62644034634157 16.8953017910127
3.81249963489237 7.87553272588823 -4.13505746449348
-78.2287014675895 8.73887305065219 -86.7168728358768
-82.1891186774149 11.6861836880866 -91.7461789250679
-141.610833288273 12.3244257661743 -150.40086365762
-220.150929988296 9.65864136184575 -229.297800071812
89.4891856574961 6.70347150871797 74.6559919371837
-15.3340823555796 8.67859124737187 -22.89803567558
-3.228822952238 13.4320229032896 -14.648191789544
7.7089244095916 7.89268133468475 0.777836516418181
36.7367536095445 7.44342811194542 28.8827077942562
21.2166939989494 7.95998403748009 14.0268808047676
-108.489917843202 11.3702869803479 -117.580088582017
-45.1682851317132 9.80787866724269 -53.0163869190515
-64.4338016223889 9.98931282800973 -72.2577286054861
6.2282852731539 9.63435156572628 -4.99815462325959
-81.0345152744613 7.53571124747948 -92.5882276727891
-26.6351145369123 8.77548016401397 -37.4985541125082
17.9009412427582 9.84406730804933 6.38869560024232
-147.454336529095 11.4932335030861 -157.147869555196
-184.315998284431 10.7637281732198 -194.075107600184
-35.8768962225088 8.57151944528675 -46.8791973467772
-9.75046004935297 7.51663605252464 -17.9951140846367
95.5833443593687 8.90412011607653 83.0209666911671
-89.8273406312414 11.4095130271423 -98.3219638374227
-46.6368423660861 10.9780327081893 -57.5627801210562
3.04127869812372 9.82939167295935 -6.15812975717238
27.0590125725735 8.58404878776692 14.8809966917715
-34.2853143180163 6.64157149057838 -42.0842304290275
-144.499234602329 10.4719860580157 -154.604444917507
79.8131019206031 10.0127094924217 69.3077548863989
-240.111970179079 9.67462952723108 -250.20152526674
-141.729190382886 11.4494380114501 -150.603425988126
-104.791765730245 9.67288883319709 -114.248689708132
-42.3350578178692 10.0858111407627 -50.9044677836915
17.8766207152164 7.87398864257715 10.0841378938156
-60.6013078139095 10.9968906027716 -69.287619956739
-123.156549507128 8.81984495802414 -133.367100209115
15.2394673838951 10.2816594581888 2.36867504732152
0.374049931258038 11.9520761852067 -9.92293534880892
-132.874166329117 12.3104475908129 -141.725810623532
